uncertainty_scope,perspective,model_id,model,dimension,theta_bootstrap_mean,theta_bootstrap_sd,score_bootstrap_mean,score_bootstrap_sd,score_ci_low,score_ci_high,rank_ci_low,rank_ci_high,T_d,top3_probability,availability_note
Q1_RANKING,B,claude_opus_4_8_max,Claude Opus 4.8 (max),RANKING_B,,,49.26571131995865,12.243624077012134,26.558983812507066,73.00668537204528,1.0,10.0,,0.256,overall ranking bootstrap row; theta fields not applicable
Q1_RANKING,B,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,RANKING_B,,,43.65843800722755,18.335598795940097,11.583300752673198,80.5837439228068,1.0,10.0,,0.2445,overall ranking bootstrap row; theta fields not applicable
Q1_RANKING,B,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,RANKING_B,,,48.65553557407677,20.598695752578205,12.26248198090056,90.05828991770953,1.0,10.0,,0.3615,overall ranking bootstrap row; theta fields not applicable
Q1_RANKING,B,gemini_3_1_pro_high,Gemini-3.1-Pro (High),RANKING_B,,,46.88515426828635,16.011661049083315,18.992065019266384,78.30325047078388,1.0,10.0,,0.28,overall ranking bootstrap row; theta fields not applicable
Q1_RANKING,B,glm_5_2_max,GLM-5.2 (max),RANKING_B,,,44.071380917565044,15.28644414457677,17.708176096548534,75.36346827890473,1.0,10.0,,0.213,overall ranking bootstrap row; theta fields not applicable
Q1_RANKING,B,gpt_5_5_xhigh,GPT-5.5 (xhigh),RANKING_B,,,49.16343144955518,12.8628168279928,26.28627464703116,75.20987558836951,1.0,10.0,,0.2825,overall ranking bootstrap row; theta fields not applicable
Q1_RANKING,B,gpt_5_6_sol_max,GPT-5.6 Sol (max),RANKING_B,,,50.08340770120354,13.709851075351924,24.497329315895193,75.99585176936816,1.0,10.0,,0.327,overall ranking bootstrap row; theta fields not applicable
Q1_RANKING,B,kimi_k3_max,Kimi K3 (max reasoning),RANKING_B,,,49.23059622280997,14.91442446358642,21.413818123231653,78.03325910761242,1.0,10.0,,0.3155,overall ranking bootstrap row; theta fields not applicable
Q1_RANKING,B,qwen3_8_max,Qwen3.8-Max,RANKING_B,,,46.339318017972005,13.718573323696274,22.67734727725913,73.26840657601784,1.0,10.0,,0.2305,overall ranking bootstrap row; theta fields not applicable
Q1_RANKING,C,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",RANKING_C,,,52.707340426877884,20.090793064625466,15.485770357167238,90.24947061992998,1.0,7.0,,0.526,overall ranking bootstrap row; theta fields not applicable
Q1_RANKING,C,claude_opus_4_8_max,Claude Opus 4.8 (max),RANKING_C,,,45.97923417898675,17.916628551528607,15.97609221538315,82.4569372063978,1.0,7.0,,0.393,overall ranking bootstrap row; theta fields not applicable
Q1_RANKING,C,gemini_3_1_pro_high,Gemini-3.1-Pro (High),RANKING_C,,,44.505878652862016,17.77663546648003,12.838400549315326,81.55378565754714,1.0,7.0,,0.3585,overall ranking bootstrap row; theta fields not applicable
Q1_RANKING,C,gpt_5_5_xhigh,GPT-5.5 (xhigh),RANKING_C,,,46.01918409959965,17.895132844885424,16.077329829418588,81.18746829459091,1.0,7.0,,0.393,overall ranking bootstrap row; theta fields not applicable
Q1_RANKING,C,gpt_5_6_sol_max,GPT-5.6 Sol (max),RANKING_C,,,52.69584671334973,19.380272002696262,16.677818249436704,87.38129139093071,1.0,7.0,,0.5305,overall ranking bootstrap row; theta fields not applicable
Q1_RANKING,C,kimi_k3_max,Kimi K3 (max reasoning),RANKING_C,,,47.17453325682221,19.166194263670217,13.549546138973646,84.64142734263768,1.0,7.0,,0.4205,overall ranking bootstrap row; theta fields not applicable
Q1_RANKING,C,qwen3_8_max,Qwen3.8-Max,RANKING_C,,,46.09599948099602,16.260124759020336,16.52981358107318,78.26950574532556,1.0,7.0,,0.3785,overall ranking bootstrap row; theta fields not applicable
DIMENSION_STABILITY,A,,,C1,,,,,,,,,0.5757575757575757,,dimension-level latent ranking stability
DIMENSION_STABILITY,A,,,C2,,,,,,,,,0.6181818181818182,,dimension-level latent ranking stability
DIMENSION_STABILITY,A,,,C3,,,,,,,,,0.6,,dimension-level latent ranking stability
DIMENSION_STABILITY,A,,,C4,,,,,,,,,0.5636363636363636,,dimension-level latent ranking stability
DIMENSION_STABILITY,A,,,C5,,,,,,,,,0.5892857142857143,,dimension-level latent ranking stability
