bootstrap,model_id,overall_score,rank
35,deepseek_v4_pro_max,65.82139485768406,2
35,claude_opus_4_8_max,58.57260365357589,3
35,gpt_5_5_xhigh,54.34063538979805,4
35,claude_fable_5_max,51.754970860524224,5
35,glm_5_2_max,46.53746170492615,6
35,gpt_5_6_sol_max,44.39157463460458,7
35,qwen3_8_max,39.24928163058119,8
35,deepseek_v4_flash_max,27.639096621846484,9
35,kimi_k3_max,24.31005849968565,10
36,kimi_k3_max,66.12943919017339,1
36,gpt_5_5_xhigh,59.398616130222884,2
36,deepseek_v4_pro_max,56.1457654358925,3
36,claude_opus_4_8_max,52.02716400750823,4
36,gpt_5_6_sol_max,45.09258914171439,5
36,glm_5_2_max,45.0047026175024,6
36,claude_fable_5_max,37.705517486179765,7
36,gemini_3_1_pro_high,37.69874695017069,8
36,deepseek_v4_flash_max,33.59883234347849,9
36,qwen3_8_max,32.24282862263793,10
37,qwen3_8_max,67.44979489469341,1
37,gemini_3_1_pro_high,66.8851984594602,2
37,deepseek_v4_pro_max,65.37913032330829,3
37,claude_fable_5_max,47.57022547660191,4
37,glm_5_2_max,41.17218943062253,5
37,deepseek_v4_flash_max,39.59219696211596,6
37,gpt_5_6_sol_max,32.80471083009175,7
37,claude_opus_4_8_max,31.013996615369035,8
37,gpt_5_5_xhigh,29.327805590765507,9
37,kimi_k3_max,28.8226782414823,10
38,gpt_5_6_sol_max,72.33760881167555,1
38,kimi_k3_max,65.57645195530556,2
38,claude_fable_5_max,64.42324215461569,3
38,gemini_3_1_pro_high,50.81818349121569,4
38,deepseek_v4_pro_max,50.52588155701728,5
38,qwen3_8_max,47.26120400232752,6
38,claude_opus_4_8_max,45.181720370815576,7
38,gpt_5_5_xhigh,43.02102462543051,8
38,glm_5_2_max,34.88676989776332,9
38,deepseek_v4_flash_max,25.39008387839589,10
39,claude_fable_5_max,69.6747548062222,1
39,deepseek_v4_flash_max,65.82231577929674,2
39,gpt_5_5_xhigh,57.1097178176737,3
39,glm_5_2_max,49.970526533865396,4
39,kimi_k3_max,44.24615731963769,5
39,gpt_5_6_sol_max,39.977637457650346,6
39,claude_opus_4_8_max,39.433399519770184,7
39,gemini_3_1_pro_high,37.623153633748004,8
39,qwen3_8_max,37.161028201060816,9
39,deepseek_v4_pro_max,34.066210724881934,10
40,kimi_k3_max,58.43901101771549,1
40,deepseek_v4_pro_max,56.19907717625726,2
40,gpt_5_6_sol_max,55.609997437602075,3
40,claude_opus_4_8_max,51.78712024843676,4
40,qwen3_8_max,51.37352138800418,5
40,claude_fable_5_max,49.1947175709496,6
40,gpt_5_5_xhigh,48.39062497751836,7
40,glm_5_2_max,45.21746715899396,8
40,deepseek_v4_flash_max,43.05751069737828,9
40,gemini_3_1_pro_high,12.67384915094603,10
41,deepseek_v4_pro_max,81.00882575287989,1
41,qwen3_8_max,70.57564630702014,2
41,deepseek_v4_flash_max,67.85968020910079,3
41,gpt_5_6_sol_max,66.65973865501469,4
41,kimi_k3_max,60.18858115326362,5
41,gemini_3_1_pro_high,55.01491130514971,6
41,claude_opus_4_8_max,48.77780882498375,7
41,claude_fable_5_max,41.956735384533246,8
41,gpt_5_5_xhigh,35.13464376427757,9
41,glm_5_2_max,26.1895472937064,10
42,glm_5_2_max,79.57466945277996,1
42,claude_opus_4_8_max,68.26325290559622,2
42,gemini_3_1_pro_high,60.88845831576674,3
42,claude_fable_5_max,54.95601753063257,4
42,gpt_5_6_sol_max,46.68835299194642,5
