bootstrap,dimension,converged,message
58,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
58,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
58,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
59,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
59,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
59,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
59,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
59,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
60,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
60,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
60,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
60,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
60,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
61,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
61,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
61,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
61,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
61,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
62,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
62,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
62,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
62,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
62,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
63,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
63,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
63,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
63,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
63,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
64,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
64,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
64,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
64,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
64,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
65,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
65,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
65,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
65,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
65,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
66,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
