bootstrap,model_id,overall_score,rank
80,gpt_5_6_sol_max,46.74839677190877,3
80,gemini_3_1_pro_high,30.382200670389828,4
80,qwen3_8_max,26.650339088124667,5
80,claude_opus_4_8_max,22.66038768397861,6
80,claude_fable_5_max,21.051811408304225,7
81,gemini_3_1_pro_high,54.790618856879625,1
81,gpt_5_6_sol_max,53.71779349096144,2
81,claude_fable_5_max,51.33004992375586,3
81,gpt_5_5_xhigh,45.32138377139202,4
81,kimi_k3_max,38.6058624512757,5
81,qwen3_8_max,31.593970977781098,6
81,claude_opus_4_8_max,22.70398844182413,7
82,claude_fable_5_max,93.59051956526685,1
82,claude_opus_4_8_max,65.45419160446615,2
82,gpt_5_5_xhigh,53.636677494750586,3
82,gemini_3_1_pro_high,49.198939137750166,4
82,gpt_5_6_sol_max,39.419436319010586,5
82,kimi_k3_max,36.9913032491369,6
82,qwen3_8_max,26.14004128365442,7
83,kimi_k3_max,67.97266707282903,1
83,claude_opus_4_8_max,66.84283230202206,2
83,gemini_3_1_pro_high,61.83393505803781,3
83,claude_fable_5_max,52.03450427884054,4
83,gpt_5_6_sol_max,39.02265109802558,5
83,qwen3_8_max,32.27594737196209,6
83,gpt_5_5_xhigh,26.227858987348085,7
84,claude_opus_4_8_max,64.16321668946121,1
84,kimi_k3_max,63.860928634493625,2
84,qwen3_8_max,60.38360860152484,3
84,gpt_5_6_sol_max,53.40306946035658,4
84,gemini_3_1_pro_high,27.988589864325196,5
84,gpt_5_5_xhigh,22.499049026157632,6
84,claude_fable_5_max,8.3718649106534,7
85,qwen3_8_max,65.75209195777501,1
85,gemini_3_1_pro_high,63.78737468606261,2
85,claude_fable_5_max,62.15624208975618,3
85,claude_opus_4_8_max,46.885428271852845,4
85,gpt_5_6_sol_max,43.216678491752646,5
85,gpt_5_5_xhigh,39.823353298527536,6
85,kimi_k3_max,31.746261067006348,7
86,gpt_5_6_sol_max,60.20361823290906,1
86,qwen3_8_max,51.76134598236486,2
