bootstrap,dimension,model_id,theta
7,C2,glm_5_2_max,-0.018899673291993768
7,C3,kimi_k3_max,-0.01982061166688257
7,C3,gpt_5_6_sol_max,-0.013099683846485244
7,C3,gpt_5_5_xhigh,0.008903648865655839
7,C3,claude_fable_5_max,0.0030689287995219745
7,C3,claude_opus_4_8_max,0.027784262775122238
7,C3,gemini_3_1_pro_high,-0.09267470554154776
7,C3,deepseek_v4_pro_max,0.056009458816419055
7,C3,deepseek_v4_flash_max,0.0370537428987043
7,C3,qwen3_8_max,-0.006301695866090339
7,C3,glm_5_2_max,-0.0009233452344175009
7,C4,kimi_k3_max,-0.0045078506808095805
7,C4,gpt_5_6_sol_max,0.03774533300314485
7,C4,gpt_5_5_xhigh,0.002072657964661817
7,C4,claude_fable_5_max,-0.015369948822102672
7,C4,claude_opus_4_8_max,0.009111244800509169
7,C4,gemini_3_1_pro_high,0.0005712996685671074
7,C4,deepseek_v4_pro_max,0.11151925412905161
7,C4,deepseek_v4_flash_max,-0.10975624511309093
7,C4,qwen3_8_max,-0.001274624420576859
7,C4,glm_5_2_max,-0.030111120529354517
7,C5,kimi_k3_max,-0.0021516991326677778
7,C5,gpt_5_6_sol_max,0.13904238657888862
7,C5,gpt_5_5_xhigh,-0.040110788227534964
7,C5,claude_fable_5_max,0.05988385338415846
7,C5,claude_opus_4_8_max,-0.09147693009450722
7,C5,gemini_3_1_pro_high,-0.03658776581940711
7,C5,deepseek_v4_pro_max,
7,C5,deepseek_v4_flash_max,
7,C5,qwen3_8_max,-0.028599056688930015
7,C5,glm_5_2_max,
8,C1,kimi_k3_max,0.015368486192530227
8,C1,gpt_5_6_sol_max,0.013483029596932686
8,C1,gpt_5_5_xhigh,0.014089010024825991
8,C1,claude_fable_5_max,-0.0047664217942295075
8,C1,claude_opus_4_8_max,0.008616558184509878
8,C1,gemini_3_1_pro_high,-0.01603028539589795
8,C1,deepseek_v4_pro_max,0.008550992997894599
8,C1,deepseek_v4_flash_max,-0.04134304313712689
8,C1,qwen3_8_max,0.007540100496024975
8,C1,glm_5_2_max,-0.005508427165464004
8,C2,kimi_k3_max,-0.020008082748444306
8,C2,gpt_5_6_sol_max,0.07096622011409383
8,C2,gpt_5_5_xhigh,-0.008474510111059225
8,C2,claude_fable_5_max,-0.0006004637305019613
8,C2,claude_opus_4_8_max,-0.006400862141981035
8,C2,gemini_3_1_pro_high,0.01966477357736867
8,C2,deepseek_v4_pro_max,-0.028486120455379516
8,C2,deepseek_v4_flash_max,-0.003464136562816113
8,C2,qwen3_8_max,-0.00019030589031324545
8,C2,glm_5_2_max,-0.023006512050967102
8,C3,kimi_k3_max,0.006861603765426088
8,C3,gpt_5_6_sol_max,0.010952996745435591
8,C3,gpt_5_5_xhigh,0.004761197965587419
8,C3,claude_fable_5_max,0.012616688509015548
8,C3,claude_opus_4_8_max,-0.031858150334261745
8,C3,gemini_3_1_pro_high,-0.027121345442405624
8,C3,deepseek_v4_pro_max,-0.0648992772545111
8,C3,deepseek_v4_flash_max,0.0804332893930261
