bootstrap,model_id,overall_score,rank
35,claude_opus_4_8_max,80.87247650689099,1
35,qwen3_8_max,69.64244451911404,2
35,claude_fable_5_max,67.89176609866486,3
35,gemini_3_1_pro_high,66.14633461152673,4
35,deepseek_v4_pro_max,30.126981818613466,5
35,gpt_5_5_xhigh,24.763179851402263,6
35,gpt_5_6_sol_max,23.046239190142956,7
35,kimi_k3_max,23.012481261937502,8
35,glm_5_2_max,21.38216746161764,9
35,deepseek_v4_flash_max,12.768298207626248,10
36,kimi_k3_max,68.52613965375616,1
36,gpt_5_5_xhigh,62.442625428001385,2
36,claude_fable_5_max,60.22221285205988,3
36,gpt_5_6_sol_max,52.77652045366813,4
36,qwen3_8_max,44.71786525844284,5
36,deepseek_v4_pro_max,35.45521635694026,6
36,claude_opus_4_8_max,33.105589721376376,7
36,gemini_3_1_pro_high,29.61748842202156,8
36,glm_5_2_max,28.744409868969118,9
36,deepseek_v4_flash_max,21.831131644650995,10
37,gpt_5_6_sol_max,66.13685852905428,1
37,claude_fable_5_max,56.86134386161146,2
37,gpt_5_5_xhigh,56.672905637397136,3
37,gemini_3_1_pro_high,55.8340893797117,4
37,kimi_k3_max,49.20300354094074,5
37,qwen3_8_max,39.63474592727666,6
37,deepseek_v4_pro_max,34.110954684535436,7
37,glm_5_2_max,21.02533085360094,8
37,deepseek_v4_flash_max,18.5824618311785,9
37,claude_opus_4_8_max,16.022385312018308,10
38,gpt_5_6_sol_max,82.79352171964578,1
38,claude_fable_5_max,69.05083315488963,2
38,gemini_3_1_pro_high,58.34926500059298,3
38,qwen3_8_max,54.71165472079552,4
38,claude_opus_4_8_max,45.997601627506484,5
38,kimi_k3_max,39.719070905268886,6
38,gpt_5_5_xhigh,31.789616847399518,7
38,deepseek_v4_pro_max,31.074374290668892,8
38,glm_5_2_max,20.803646811421597,9
38,deepseek_v4_flash_max,15.525673595209458,10
39,gpt_5_5_xhigh,78.43940721064682,1
39,claude_fable_5_max,45.32008227786302,2
39,gemini_3_1_pro_high,39.86761289754102,3
39,gpt_5_6_sol_max,39.08656792453566,4
39,kimi_k3_max,34.93701448084936,5
39,deepseek_v4_flash_max,32.441739197907,6
39,glm_5_2_max,25.49281171889208,7
39,qwen3_8_max,25.27305442255668,8
39,claude_opus_4_8_max,19.61810571685786,9
39,deepseek_v4_pro_max,17.170385014855974,10
40,claude_opus_4_8_max,72.942636634727,1
40,claude_fable_5_max,56.520269789950596,2
40,qwen3_8_max,49.02155024368845,3
40,kimi_k3_max,48.338562370117124,4
40,gpt_5_5_xhigh,35.12551301004837,5
